,Rank,Artist,Album,Release Date,Genre,Rating,# of Ratings,# of Reviews,Formed,City,State,Country,CityStateCountry,Coordinates
68,69,Elliott,U.S. Songs,1998,"Midwest Emo, Emo",3.43,173,3,1995,Louisville,KY,United States,"Louisville, KY, United States","[38.25489044189453, -85.76666259765625]"
69,70,Sioux Falls,Rot Forever,19-Feb-16,Midwest Emo,3.38,273,6,2010,Bozeman,MT,United States,"Bozeman, MT, United States","[45.67934036254883, -111.03221893310547]"
70,71,Colossal,Welcome the Problems,21-Sep-04,Midwest Emo,3.41,145,3,2001,Elgin,IL,United States,"Elgin, IL, United States","[42.03955841064453, -88.28324127197266]"
71,72,Everyone Everywhere,Everyone Everywhere,4-May-10,Midwest Emo,3.36,292,5,2007,Philadelphia,PA,United States,"Philadelphia, PA, United States","[39.95222091674805, -75.16217803955078]"
72,73,Penfold,Our First Taste of Escape,2001,Midwest Emo,3.42,170,2,1995,Livingston,NJ,United States,"Livingston, NJ, United States","[40.795528411865234, -74.31742095947266]"
73,74,Prawn,Kingfisher,12-Aug-14,Midwest Emo,3.36,402,7,2007,Ridgewood,NJ,United States,"Ridgewood, NJ, United States","[40.981971740722656, -74.11257934570312]"
74,75,Crash of Rhinos,Knots,22-Jul-13,"Midwest Emo, Emo",3.35,412,10,2009,Derby,Derbyshire,United Kingdom,"Derby, Derbyshire, United Kingdom","[52.923431396484375, -1.4844499826431274]"
75,76,Castevet,Summer Fences,6-Sep-09,"Midwest Emo, Post-Rock",3.33,355,10,2006,New York,NY,United States,"New York, NY, United States","[40.71455001831055, -74.00714111328125]"
76,77,Castor,Tracking Sounds Alone,Sep-99,Midwest Emo,3.49,87,1,1995,Champaign,IL,United States,"Champaign, IL, United States","[40.114200592041016, -88.24349975585938]"
77,78,Chamberlain,Fate's Got a Driver,7-Jul-96,"Midwest Emo, Post-Hardcore",3.44,133,4,1996,Bloomington,IN,United States,"Bloomington, IN, United States","[39.16659927368164, -86.53479766845703]"
78,79,Youth Pictures of Florence Henderson,Youth Pictures of Florence Henderson,25-Jan-10,"Post-Rock, Midwest Emo",3.38,177,0,2003,Oslo,,Norway,"Oslo, , Norway","[59.912288665771484, 10.75]"
79,80,Last Days of April,Angel Youth,10-Sep-00,"Midwest Emo, Indie Rock",3.4,169,7,1996,Stockholm,,Sweden,"Stockholm, , Sweden","[59.33256912231445, 18.066829681396484]"
80,81,Brandtson,Fallen Star Collection,17-Aug-99,"Midwest Emo, Emo",3.4,124,3,1996,Cleveland,OH,United States,"Cleveland, OH, United States","[41.504730224609375, -81.69074249267578]"
81,82,Brave Bird,"Maybe You, No One Else Worth It",8-Jan-13,Midwest Emo,3.29,405,9,2010,Ann Arbor,MI,United States,"Ann Arbor, MI, United States","[42.282100677490234, -83.74846649169922]"
82,83,JANK,Awkward Pop Songs,10-Nov-15,Midwest Emo,3.32,428,5,2015,Philadelphia,PA,United States,"Philadelphia, PA, United States","[39.95222091674805, -75.16217803955078]"
83,84,Pop Unknown,"If Arsenic Fails, Try Algebra",30-Nov-99,Midwest Emo,3.37,170,5,1997,Austin,TX,United States,"Austin, TX, United States","[30.267589569091797, -97.74298858642578]"
84,85,Free Throw,Those Days are Gone,16-Sep-14,Midwest Emo,3.31,357,3,2012,Nashville,TN,United States,"Nashville, TN, United States","[36.16783905029297, -86.77816009521484]"
85,86,Delta Sleep,Twin Galaxies,16-Jun-15,"Math Rock, Post-Hardcore, Midwest Emo",3.35,254,1,2010,Canterbury,Kent,United Kingdom,"Canterbury, Kent, United Kingdom","[51.275970458984375, 1.0756100416183472]"
86,87,Algernon Cadwallader,Parrot Flies,21-May-11,Midwest Emo,3.26,757,8,2005,Philadelphia,PA,United States,"Philadelphia, PA, United States","[39.95222091674805, -75.16217803955078]"
87,88,Matt Aspinwall,Matt Aspinwall / The Brave Little Abacus,1-Aug-08,Midwest Emo,3.34,212,5,1989,Newburyport,MA,United States,"Newburyport, MA, United States","[42.81196975708008, -70.87262725830078]"
88,89,McCafferty,BeachBoy,2-Jan-14,"Midwest Emo, Pop Punk",3.45,139,1,2011,Medina,OH,United States,"Medina, OH, United States","[41.140419006347656, -81.86402130126953]"
89,90,Braid,The Age of Octeen,7-Sep-96,Midwest Emo,3.33,285,7,1993,Champaign,IL,United States,"Champaign, IL, United States","[40.114200592041016, -88.24349975585938]"
90,91,Wayne Szalinski,Black Mirror,21-Oct-14,Midwest Emo,3.44,78,1,2012,East Lansing,MI,United States,"East Lansing, MI, United States","[42.73749923706055, -84.48377990722656]"
91,92,Boilermaker,Boilermaker,1998,"Emo, Midwest Emo",3.47,94,1,1992,Leucadia,CA,United States,"Leucadia, CA, United States","[33.070640563964844, -117.30426025390625]"
92,93,The Jazz June,The Medicine,2000,Midwest Emo,3.32,185,2,1996,Kutztown,PA,United States,"Kutztown, PA, United States","[40.51850891113281, -75.7764892578125]"
93,94,Oso Oso,The Yunahon Mixtape,13-Jan-17,"Midwest Emo, Emo-Pop",3.31,335,3,2015,Long Beach,NY,United States,"Long Beach, NY, United States","[40.58938980102539, -73.66607666015625]"
94,95,Christie Front Drive,Christie Front Drive,1994,Midwest Emo,3.37,132,0,1993,Denver,CO,United States,"Denver, CO, United States","[39.74000930786133, -104.99201965332031]"
95,96,Castevet,The Echo & the Light,17-Aug-10,Midwest Emo,3.3,167,8,2006,New York,NY,United States,"New York, NY, United States","[40.71455001831055, -74.00714111328125]"
96,97,Marietta,As It Were,17-Aug-15,Midwest Emo,3.34,169,2,2011,Philadelphia,PA,United States,"Philadelphia, PA, United States","[39.95222091674805, -75.16217803955078]"
97,98,The Promise Ring,30¬? Everywhere,10-Sep-96,Midwest Emo,3.26,474,8,1995,Milwaukee,WI,United States,"Milwaukee, WI, United States","[43.04199981689453, -87.90686798095703]"
98,99,Rainer Maria,Past Worn Searching,7-Nov-97,Midwest Emo,3.32,182,6,1995,Madison,WI,United States,"Madison, WI, United States","[43.0731315612793, -89.38643646240234]"
99,100,Prawn,You Can Just Leave It All,14-Jun-11,Midwest Emo,3.28,256,9,2007,Ridgewood,NJ,United States,"Ridgewood, NJ, United States","[40.981971740722656, -74.11257934570312]"
100,101,Evergreen,Seven Songs,1994,"Emo, Midwest Emo",3.36,155,1,1993,Louisville,KY,United States,"Louisville, KY, United States","[38.25489044189453, -85.76666259765625]"
101,102,The Jealous Sound,Kill Them With Kindness,3-Jun-03,"Indie Rock, Midwest Emo",3.35,180,3,1999,Los Angeles,CA,United States,"Los Angeles, CA, United States","[34.053489685058594, -118.24532318115234]"
102,103,Polara,Tempestade bipolar,2005,"Emo, Midwest Emo",3.48,67,0,1994,Minneapolis,MN,United States,"Minneapolis, MN, United States","[44.97901916503906, -93.26493835449219]"
103,104,Teen Suicide,I Will Be My Own Hell Because There Is a Devil Inside My Body,15-Sep-12,"Lo-Fi Indie, Midwest Emo",3.18,1211,7,2009,Baltimore,MD,United States,"Baltimore, MD, United States","[39.29058074951172, -76.60926055908203]"
104,105,Into It. Over It.,Proper,27-Sep-11,"Pop Punk, Midwest Emo",3.26,317,8,1984,Cherry Hill,NJ,United States,"Cherry Hill, NJ, United States","[39.92792892456055, -75.03045654296875]"
105,106,The Sidekicks,Awkward Breeds,21-Feb-12,"Midwest Emo, Power Pop, Indie Rock",3.42,112,2,2006,Cleveland,OH,United States,"Cleveland, OH, United States","[41.504730224609375, -81.69074249267578]"
106,107,Cursive,The Storms of Early Summer: Semantics of Song,2-Nov-98,"Indie Rock, Post-Hardcore, Midwest Emo",3.28,318,10,1995,Omaha,NE,United States,"Omaha, NE, United States","[41.26068115234375, -95.94026184082031]"
107,108,Ethel Meserve,The Milton Abandonment,2-Dec-97,"Emo, Post-Hardcore, Midwest Emo",3.33,132,8,1994,State College,PA,United States,"State College, PA, United States","[40.793731689453125, -77.86070251464844]"
108,109,Joan of Arc,A Portable Model Of,10-Jun-97,Midwest Emo,3.22,489,9,1995,Chicago,IL,United States,"Chicago, IL, United States","[41.88425064086914, -87.6324462890625]"
109,110,Onelinedrawing,The Volunteers,23-Mar-04,"Midwest Emo, Singer/Songwriter, Indie Rock",3.41,96,5,1998,Brookline,MA,United States,"Brookline, MA, United States","[42.33346939086914, -71.12046813964844]"
110,111,The Jim Yoshii Pile-Up,Picks Us Apart,26-Jul-05,Midwest Emo,3.43,73,1,1997,Oakland,CA,United States,"Oakland, CA, United States","[37.80508041381836, -122.2730712890625]"
111,112,Sirs,Sirs,3-Jul-12,Midwest Emo,3.43,69,2,2009,Purchase,NY,United States,"Purchase, NY, United States","[41.036869049072266, -73.71295928955078]"
112,113,Camping in Alaska,Please Be Nice,10-Sep-13,Midwest Emo,3.27,208,4,2012,Huntsville,AL,United States,"Huntsville, AL, United States","[34.72929000854492, -86.58509826660156]"
113,114,Sarge,The Glass Intact,1998,"Midwest Emo, Pop Punk",3.46,71,4,1995,Champaign,IL,United States,"Champaign, IL, United States","[40.114200592041016, -88.24349975585938]"
114,115,Grown Ups,More Songs,18-May-10,"Midwest Emo, Emo",3.24,202,5,2009,Chicago,IL,United States,"Chicago, IL, United States","[41.88425064086914, -87.6324462890625]"
115,116,Modern Baseball,You're Gonna Miss It All,11-Feb-14,"Pop Punk, Midwest Emo",3.12,1371,15,2011,Philadelphia,PA,United States,"Philadelphia, PA, United States","[39.95222091674805, -75.16217803955078]"
116,117,Told Slant,Going By,16-Jun-16,"Slowcore, Midwest Emo",3.21,257,5,2012,Brooklyn,NY,United States,"Brooklyn, NY, United States","[40.69245147705078, -73.9903564453125]"
117,118,Pop Unknown,The August Division,2002,Midwest Emo,3.43,63,2,1997,Austin,TX,United States,"Austin, TX, United States","[30.267589569091797, -97.74298858642578]"
118,119,Little Big League,These Are Good People,6-Aug-13,Midwest Emo,3.27,172,1,2011,Philadelphia,PA,United States,"Philadelphia, PA, United States","[39.95222091674805, -75.16217803955078]"
119,120,Giants Chair,Purity and Control,1996,Midwest Emo,3.38,64,2,1993,Kansas,MO,United States,"Kansas, MO, United States","[38.36796569824219, -92.4778823852539]"
